# RESULTS FOR MEASUREMENTS
# MEAS GAMMA    NODE    MEASVALUE    MEASERROR   EXPR   AUTHOR      YR   TITLE 
# ---- ------- -------  -----------  ----------  ------ ----------- ---  --------------------------------------------------------------------------------------------------
*    1 128     S035B20  2.90000E-04  1.4325E-04  ALEPH  BUSKULIC    97C  G(K- eta nu(tau)) / G(total)
*    2 128     S035B20  2.60000E-04  7.071E-05   CLEO   BARTELT     96   G(K- eta nu(tau)) / G(total)
*    3 19by13  S035B21  3.42000E-01  1.709E-02   CLEO   PROCARIO    93   G(h- 2pi0 nu(tau) (ex. K0)) / G(h- pi0 nu(tau))
*    4 26by13  S035B22  4.40000E-02  5.831E-03   CLEO   PROCARIO    93   G(h- 3pi0 nu(tau)) / G(h- pi0 nu(tau))
*    5 30      S035B23  1.12000e-03  5.09313e-04 ALEPH  SCHAEL      05C  G(h- 4pi0 nu(tau) (ex. K0, eta)) / G(total)
*    6 76by54  S035B25  3.40000E-02  3.606E-03   CLEO   BORTOLETTO  93   G(h- h- h+ 2pi0 nu(tau) (ex. K0)) / G(h- h- h+ >=0 neutrals >=0 K(L)0 nu(tau))
*    7 152by76 S035B27  8.10000E-01  8.485E-02   CLEO   BORTOLETTO  93   G(h- omega pi0 nu(tau)) / G(h- h- h+ 2pi0 nu(tau) (ex. K0))
*    8 16      S035B29  4.71000E-03  6.332E-04   OPAL   ABBIENDI    04J  G(K- pi0 nu(tau)) / G(total)
*    9 16      S035B29  4.44000E-03  3.538E-04   ALEPH  BARATE      99K  G(K- pi0 nu(tau)) / G(total)
*   10 16      S035B29  5.10000E-03  1.221E-03   CLEO   BATTLE      94   G(K- pi0 nu(tau)) / G(total)
*   11 23      S035B30  5.60000E-04  2.500E-04   ALEPH  BARATE      99K  G(K- 2pi0 nu(tau) (ex. K0)) / G(total)
*   12 23      S035B30  9.00000E-04  1.044E-03   CLEO   BATTLE      94   G(K- 2pi0 nu(tau) (ex. K0)) / G(total)
*   13 28      S035B31  3.70000E-04  2.371E-04   ALEPH  BARATE      99K  G(K- 3pi0 nu(tau) (ex. K0, eta)) / G(total)
*   14 35      S035B32  9.33000E-03  8.382E-04   OPAL   ABBIENDI    00C  G(Kbar0 pi- nu(tau)) / G(total)
*   15 35      S035B32  9.28000E-03  5.640E-04   ALEPH  BARATE      99K  G(Kbar0 pi- nu(tau)) / G(total)
*   16 35      S035B32  9.50000E-03  1.616E-03   L3     ACCIARRI    95F  G(Kbar0 pi- nu(tau)) / G(total)
*   17 40      S035B33  3.47000E-03  6.464E-04   ALEPH  BARATE      99K  G(Kbar0 pi- pi0 nu(tau)) / G(total)
*   18 40      S035B33  2.94000E-03  8.184E-04   ALEPH  BARATE      98E  G(Kbar0 pi- pi0 nu(tau)) / G(total)
*   19 40      S035B33  4.10000E-03  1.237E-03   L3     ACCIARRI    95F  G(Kbar0 pi- pi0 nu(tau)) / G(total)
*   20 42      S035B34  1.43000E-03  2.915E-04   ALEPH  BARATE      99K  G(K- pi0 K0 nu(tau)) / G(total)
*   21 42      S035B34  1.52000E-03  7.885E-04   ALEPH  BARATE      98E  G(K- pi0 K0 nu(tau)) / G(total)
*   22 42      S035B34  1.45000E-03  4.118E-04   CLEO   COAN        96   G(K- pi0 K0 nu(tau)) / G(total)
*   23 92      S035B37  1.59000E-03  5.665E-04   OPAL   ABBIENDI    00D  G(pi- K- K+ >=0 neutrals nu(tau)) / G(total)
*   24 92      S035B37  1.50000E-03  8.5515E-04  TPC    BAUER       94   G(pi- K- K+ >=0 neutrals nu(tau)) / G(total)
*   25 33      S035B43  9.70000E-03  8.490E-04   ALEPH  BARATE      98E  G(K(S)0 (particles)- nu(tau)) / G(total)
*   26 33      S035B43  9.70000E-03  1.082E-03   OPAL   AKERS       94G  G(K(S)0 (particles)- nu(tau)) / G(total)
*   27 66      S035B53  4.54500E-02  1.478E-03   DELPHI ABDALLAH    06A  G(h- h- h+ pi0 nu(tau) (ex. K0)) / G(total)
*   28 66      S035B53  4.23000E-02  2.280E-03   CLEO   BALEST      95C  G(h- h- h+ pi0 nu(tau) (ex. K0)) / G(total)
*   29 19      S035R20  9.29500e-02  1.21655e-03 ALEPH  SCHAEL      05C  G(h- 2pi0 nu(tau) (ex. K0)) / G(total)
*   30 26      S035R21  1.08200e-02  9.25581e-04 ALEPH  SCHAEL      05C  G(h- 3pi0 nu(tau) / G(total)
*   31 78      S035B57  2.20000E-04  5.000E-05   CLEO   ANASTASSOV  01   G(h- h- h+ 3pi0 nu(tau)) / G(total)
*   32 152     S035B58  4.30000E-03  7.810E-04   ALEPH  BUSKULIC    97C  G(h- pi0 omega nu(tau)) / G(total)
*   33 76      S035B59  4.35000E-03  4.60977e-04 ALEPH  SCHAEL      05C  G(h- h- h+ 2pi0 nu(tau) (ex. K0)) / G(total)
*   34 57      S035B62  9.31700E-02  1.218E-03   DELPHI ABDALLAH    06A  G(h- h- h+ nu(tau) (ex. K0)) / G(total)
*   35 57      S035B62  9.51000E-02  2.119E-03   CLEO   BALEST      95C  G(h- h- h+ nu(tau) (ex. K0)) / G(total)
*   36 55      S035B63  1.45560E-01  1.296E-03   L3     ACHARD      01D  G(h- h- h+ >=0 neutrals nu(tau) (ex. K(S)0 --> pi- pi+) (``3-prong'')) / G(total)
*   37 55      S035B63  1.49600E-01  2.377E-03   OPAL   AKERS       95Y  G(h- h- h+ >=0 neutrals nu(tau) (ex. K(S)0 --> pi- pi+) (``3-prong'')) / G(total)
*   38 57by55  S035B64  6.60000E-01  1.456E-02   OPAL   AKERS       95Y  G(h- h- h+ nu(tau) (ex. K0)) / G(h- h- h+ >=0 neutrals nu(tau) (ex. K(S)0 --> pi- pi+) (``3-prong''))
*   39 34      S035B67  8.55000E-03  8.139E-04   CLEO   COAN        96   G(Kbar0 h- nu(tau)) / G(total)
*   40 39      S035B68  5.62000E-03  6.931E-04   CLEO   COAN        96   G(Kbar0 h- pi0 nu(tau)) / G(total)
*   41 47      S035B69  2.60000E-04  1.118E-04   ALEPH  BARATE      98E  G(pi- K(S)0 K(S)0 nu(tau)) / G(total)
*   42 47      S035B69  2.30000E-04  5.831E-05   CLEO   COAN        96   G(pi- K(S)0 K(S)0 nu(tau)) / G(total)
*   43 8       S035B73  1.15710E-01  1.655E-03   DELPHI ABDALLAH    06A  G(h- nu(tau)) / G(total)
*   44 8       S035B73  1.19800E-01  2.062E-03   OPAL   ACKERSTAFF  98M  G(h- nu(tau)) / G(total)
*   45 8       S035B73  1.15200E-01  1.300E-03   CLEO   ANASTASSOV  97   G(h- nu(tau)) / G(total)
*   46 29      S035B79  1.60000E-03  7.071E-04   CLEO   PROCARIO    93   G(h- 4pi0 nu(tau) (ex. K0)) / G(total)
*   47 25      S035C02  1.40300E-02  3.098E-03   DELPHI ABDALLAH    06A  G(h- >= 3pi0 nu(tau) (ex. K0)) / G(total)
*   48 74      S035C03  5.61000E-03  1.168E-03   DELPHI ABDALLAH    06A  G(h- h- h+ >= 2pi0 nu(tau) (ex. K0)) / G(total)
*   49 48      S035C1   1.01000E-03  2.642E-04   ALEPH  BARATE      98E  G(pi- K(S)0 K(L)0 nu(tau)) / G(total)
*   50 60      S035C19  9.13000E-02  4.627E-03   CLEO3  BRIERE      03   G(pi- pi- pi+ nu(tau) (ex. K0)) / G(total)
*   51 58      S035B71  9.46900E-02  9.57758E-04 ALEPH  SCHAEL      05C  G(h- h- h+ nu(tau) (ex. K0, omega)) / G(total)
*   52 85      S035C21  4.15000E-03  6.640E-04   OPAL   ABBIENDI    04J  G(K- pi- pi+ nu(tau) (ex. K0)) / G(total)
*   53 85      S035C21  3.84000E-03  4.050E-04   CLEO3  BRIERE      03   G(K- pi- pi+ nu(tau) (ex. K0)) / G(total)
*   54 85      S035C21  2.14000E-03  4.701E-04   ALEPH  BARATE      98   G(K- pi- pi+ nu(tau) (ex. K0)) / G(total)
*   55 66      S035B53  4.73400E-02  7.66942E-04 ALEPH  SCHAEL      05C  G(h- h- h+ pi0 nu(tau) (ex. K0)) / G(total)
*   56 69      S035C23  4.19000E-02  2.326E-03   CLEO   EDWARDS     00A  G(pi- pi- pi+ pi0 nu(tau) (ex. K0)) / G(total)
*   57 88      S035C25  7.40000E-04  1.360E-04   CLEO3  ARMS        05   G(K- pi- pi+ pi0 nu(tau) (ex. K0)) / G(total)
*   58 88      S035C25  6.10000E-04  4.295E-04   ALEPH  BARATE      98   G(K- pi- pi+ pi0 nu(tau) (ex. K0)) / G(total)
*   59 80by60  S035C32  5.44000E-02  5.701E-03   CLEO   RICHICHI    99   G(K- pi- h+ nu(tau) (ex. K0)) / G(pi- pi- pi+ nu(tau) (ex. K0))
*   60 81by69  S035C34  2.61000E-02  6.155E-03   CLEO   RICHICHI    99   G(K- pi- h+ pi0 nu(tau) (ex. K0)) / G(pi- pi- pi+ pi0 nu(tau) (ex. K0))
*   61 93by60  S035C35  1.60000E-02  3.354E-03   CLEO   RICHICHI    99   G(pi- K- K+ nu(tau)) / G(pi- pi- pi+ nu(tau) (ex. K0))
*   62 94by69  S035C36  7.90000E-03  4.682E-03   CLEO   RICHICHI    99   G(pi- K- K+ pi0 nu(tau)) / G(pi- pi- pi+ pi0 nu(tau) (ex. K0))
*   63 38      S035C38  3.30000E-03  6.742E-04   OPAL   ABBIENDI    00C  G(K- K0 >=0 pi0 nu(tau)) / G(total)
*   64 94      S035C8   5.50000E-05  1.844E-05   CLEO3  ARMS        05   G(pi- K- K+ pi0 nu(tau)) / G(total)
*   65 94      S035C8   7.50000E-04  3.265E-04   ALEPH  BARATE      98   G(pi- K- K+ pi0 nu(tau)) / G(total)
*   66 3       S035R1   1.73190E-01  7.69675E-04 ALEPH  SCHAEL      05C  G(mu- nubar(mu) nu(tau)) / G(total)
*   67 3       S035R1   1.73400E-01  1.082E-03   OPAL   ABBIENDI    03   G(mu- nubar(mu) nu(tau)) / G(total)
*   68 3       S035R1   1.73420E-01  1.288E-03   L3     ACCIARRI    01F  G(mu- nubar(mu) nu(tau)) / G(total)
*   69 3       S035R1   1.73250E-01  1.223E-03   DELPHI ABREU       99X  G(mu- nubar(mu) nu(tau)) / G(total)
*   70 150by66 S035R14  4.31000E-01  3.300E-02   ALEPH  BUSKULIC    96   G(h- omega nu(tau)) / G(h- h- h+ pi0 nu(tau) (ex. K0))
*   71 150by66 S035R14  4.64000E-01  2.335E-02   CLEO   BALEST      95C  G(h- omega nu(tau)) / G(h- h- h+ pi0 nu(tau) (ex. K0))
*   72 5       S035R2   1.78370E-01  8.04984e-04 ALEPH  SCHAEL      05C  G(e- nubar(e) nu(tau)) / G(total)
*   73 5       S035R2   1.78060E-01  1.288E-03   L3     ACCIARRI    01F  G(e- nubar(e) nu(tau)) / G(total)
*   74 5       S035R2   1.78100E-01  1.082E-03   OPAL   ABBIENDI    99H  G(e- nubar(e) nu(tau)) / G(total)
*   75 5       S035R2   1.78770E-01  1.549E-03   DELPHI ABREU       99X  G(e- nubar(e) nu(tau)) / G(total)
*   76 5       S035R2   1.77600E-01  1.803E-03   CLEO   ANASTASSOV  97   G(e- nubar(e) nu(tau)) / G(total)
*   77 19      S035R20  9.49800E-02  4.219E-03   DELPHI ABDALLAH    06A  G(h- 2pi0 nu(tau) (ex. K0)) / G(total)
*   78 19      S035R20  8.88000E-02  5.597E-03   L3     ACCIARRI    95   G(h- 2pi0 nu(tau) (ex. K0)) / G(total)
*   79 26      S035R21  1.70000E-02  4.494E-03   L3     ACCIARRI    95   G(h- 3pi0 nu(tau)) / G(total)
*   80 150     S035R23  1.91000E-02  9.220E-04   ALEPH  BUSKULIC    97C  G(h- omega nu(tau)) / G(total)
*   81 150     S035R23  1.60000E-02  4.909E-03   CLEO   BARINGER    87   G(h- omega nu(tau)) / G(total)
*   82 31      S035R26  1.52800E-02  5.587E-04   OPAL   ABBIENDI    01J  G(K- >=0 pi0 >=0 K0 >=0 gamma nu(tau)) / G(total)
*   83 31      S035R26  1.54000E-02  2.400E-03   DELPHI ABREU       94K  G(K- >=0 pi0 >=0 K0 >=0 gamma nu(tau)) / G(total)
*   84 31      S035R26  1.70000E-02  2.247E-03   CLEO   BATTLE      94   G(K- >=0 pi0 >=0 K0 >=0 gamma nu(tau)) / G(total)
*   85 54      S035R31  1.44000E-01  6.708E-03   L3     ADEVA       91F  G(h- h- h+ >=0 neutrals >=0 K(L)0 nu(tau)) / G(total)
*   86 54      S035R31  1.50000E-01  5.000E-03   CELLO  BEHREND     89B  G(h- h- h+ >=0 neutrals >=0 K(L)0 nu(tau)) / G(total)
*   87 54      S035R31  1.51000E-01  1.000E-02   TPC    AIHARA      87B  G(h- h- h+ >=0 neutrals >=0 K(L)0 nu(tau)) / G(total)
*   88 126     S035R32  1.80000E-03  4.472E-04   ALEPH  BUSKULIC    97C  G(pi- pi0 eta nu(tau)) / G(total)
*   89 126     S035R32  1.70000E-03  2.828E-04   CLEO   ARTUSO      92   G(pi- pi0 eta nu(tau)) / G(total)
*   90 102     S035R33  1.70000E-03  3.406E-04   L3     ACHARD      01D  G(3h- 2h+ >=0 neutrals nu(tau) (ex. K(S)0 --> pi- pi+) (``5-prong'')) / G(total)
*   91 102     S035R33  9.70000E-04  1.208E-04   CLEO   GIBAUT      94B  G(3h- 2h+ >=0 neutrals nu(tau) (ex. K(S)0 --> pi- pi+) (``5-prong'')) / G(total)
*   92 102     S035R33  1.02000E-03  2.900E-04   HRS    BYLSMA      87   G(3h- 2h+ >=0 neutrals nu(tau) (ex. K(S)0 --> pi- pi+) (``5-prong'')) / G(total)
*   93 103     S035R38  9.70000E-04  1.581E-04   DELPHI ABDALLAH    06A  G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*   94 103     S035R38  7.20000E-04  1.500E-04   ALEPH  SCHAEL      05C  G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*   95 103     S035R38  9.10000E-04  1.523E-04   OPAL   ACKERSTAFF  99E  G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*   96 103     S035R38  7.70000E-04  1.030E-04   CLEO   GIBAUT      94B  G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*   97 103     S035R38  6.40000E-04  2.508E-04   ARGUS  ALBRECHT    88B  G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*   98 103     S035R38  5.10000E-04  2.000E-04   HRS    BYLSMA      87   G(3h- 2h+ nu(tau) (ex. K0)) / G(total)
*   99 104     S035R39  1.60000E-04  1.342E-04   DELPHI ABDALLAH    06A  G(3h- 2h+ pi0 nu(tau) (ex. K0)) / G(total)
*  100 104     S035R39  2.10000E-04  9.21954e-05 ALEPH  SCHAEL      05C  G(3h- 2h+ pi0 nu(tau) (ex. K0)) / G(total)
*  101 104     S035R39  1.70000E-04  2.828E-05   CLEO   ANASTASSOV  01   G(3h- 2h+ pi0 nu(tau) (ex. K0)) / G(total)
*  102 104     S035R39  2.70000E-04  2.012E-04   OPAL   ACKERSTAFF  99E  G(3h- 2h+ pi0 nu(tau) (ex. K0)) / G(total)
*  103 93      S035R40  1.55000E-03  1.082E-04   CLEO3  BRIERE      03   G(pi- K- K+ nu(tau)) / G(total)
*  104 93      S035R40  1.63000E-03  2.702E-04   ALEPH  BARATE      98   G(pi- K- K+ nu(tau)) / G(total)
*  105 82      S035R41  5.80000E-03  1.845E-03   TPC    BAUER       94   G(K- pi- pi+ >=0 neutrals nu(tau)) / G(total)
*  106 7       S035R43  1.24700E-01  5.025E-03   L3     ACCIARRI    95   G(h- >=0 K(L)0 nu(tau)) / G(total)
